dataset_idx,dataset_name,dataset_tipo,n_samples,n_features,k,metrica,p,algoritmo,eps,run,radius,silhouette,ari,tempo
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,1,13.56699911427727,0.7205295637217932,nan,0.0010228999999526422
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,1,nan,0.7659686024380011,nan,0.07789529799993034
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,2,3.763802064432042,0.7631248207580491,nan,5.9299999975337414e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,2,3.4173423645047456,0.7659686024380011,nan,0.0046820000000025175
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,2,3.4173423645047456,0.7659686024380011,nan,0.0018837000000075932
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,2,3.4173423645047456,0.7659686024380011,nan,0.0032418000000689062
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,2,6.885411981978272,0.8278455524506478,nan,0.0007780000000821019
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,2,13.56699911427727,0.7205295637217932,nan,0.0007416999999350082
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,2,nan,0.7659686024380011,nan,0.07884429899991119
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,3,3.763802064432042,0.7631248207580491,nan,5.740000005971524e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,3,3.4173423645047456,0.7659686024380011,nan,0.0011881000000357744
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,3,3.4173423645047456,0.7659686024380011,nan,0.0010379000000284577
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,3,3.4173423645047456,0.7659686024380011,nan,0.0009803000000374595
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,3,6.885411981978272,0.8278455524506478,nan,0.0008066000000326312
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,3,13.56699911427727,0.7205295637217932,nan,0.0006852999999864551
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,3,nan,0.7659686024380011,nan,0.07992119899995487
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,4,3.763802064432042,0.7631248207580491,nan,5.4500000032930984e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,4,3.4173423645047456,0.7659686024380011,nan,0.0011928000001262262
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,4,3.4173423645047456,0.7659686024380011,nan,0.0010167999998884625
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,4,3.4173423645047456,0.7659686024380011,nan,0.0009131000001616485
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,4,6.885411981978272,0.8278455524506478,nan,0.000751600000057806
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,4,13.56699911427727,0.7205295637217932,nan,0.0006516000000829081
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,4,nan,0.7659686024380011,nan,0.07732159900001534
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,5,3.763802064432042,0.7631248207580491,nan,5.8399999943503644e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,5,3.4173423645047456,0.7659686024380011,nan,0.001205199999958495
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,5,3.4173423645047456,0.7659686024380011,nan,0.00099410000007083
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,5,3.4173423645047456,0.7659686024380011,nan,0.0009120999998231127
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,5,6.885411981978272,0.8278455524506478,nan,0.0007607000000007247
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,5,13.56699911427727,0.7205295637217932,nan,0.0006541999998717074
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,5,nan,0.7659686024380011,nan,0.08178259800001797
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,6,3.763802064432042,0.7631248207580491,nan,5.790000000160944e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,6,3.4173423645047456,0.7659686024380011,nan,0.0012073000000327738
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,6,3.4173423645047456,0.7659686024380011,nan,0.0009992000000238477
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,6,3.4173423645047456,0.7659686024380011,nan,0.002096099999789658
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,6,6.885411981978272,0.8278455524506478,nan,0.000772299999880488
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,6,13.56699911427727,0.7205295637217932,nan,0.0007432999998400192
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,6,nan,0.7659686024380011,nan,0.07753549800008841
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,7,3.763802064432042,0.7631248207580491,nan,5.8799999806069536e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,7,3.4173423645047456,0.7659686024380011,nan,0.0011455999999725464
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,7,3.4173423645047456,0.7659686024380011,nan,0.0010684999999739375
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,7,3.4173423645047456,0.7659686024380011,nan,0.0009213989999352634
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,7,6.885411981978272,0.8278455524506478,nan,0.0009110000000873697
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,7,13.56699911427727,0.7205295637217932,nan,0.0034445000001142034
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,7,nan,0.7659686024380011,nan,0.07818349800004398
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,8,3.763802064432042,0.7631248207580491,nan,5.699999996977567e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,8,3.4173423645047456,0.7659686024380011,nan,0.0011569000000690721
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,8,3.4173423645047456,0.7659686024380011,nan,0.000966699999935372
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,8,3.4173423645047456,0.7659686024380011,nan,0.0008921999999529362
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,8,6.885411981978272,0.8278455524506478,nan,0.0009098000000449247
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,8,13.56699911427727,0.7205295637217932,nan,0.0006935000001249136
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,8,nan,0.7659686024380011,nan,0.08157319799988727
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,9,3.763802064432042,0.7631248207580491,nan,6.700000017190177e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,9,3.4173423645047456,0.7659686024380011,nan,0.0026268999999956577
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,9,3.4173423645047456,0.7659686024380011,nan,0.0015911999998934334
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,9,3.4173423645047456,0.7659686024380011,nan,0.001042098999960217
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,9,6.885411981978272,0.8278455524506478,nan,0.0007920999998987099
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,9,13.56699911427727,0.7205295637217932,nan,0.0007274000001871173
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,9,nan,0.7659686024380011,nan,0.05675889899998765
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,10,3.763802064432042,0.7631248207580491,nan,6.570000005012844e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,10,3.4173423645047456,0.7659686024380011,nan,0.0011934999999994034
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,10,3.4173423645047456,0.7659686024380011,nan,0.0011841000000458735
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,10,3.4173423645047456,0.7659686024380011,nan,0.0009818000000905158
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,10,6.885411981978272,0.8278455524506478,nan,0.0007772999999815511
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,10,13.56699911427727,0.7205295637217932,nan,0.0006488999999874068
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,10,nan,0.7659686024380011,nan,0.07378039900004296
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,11,3.763802064432042,0.7631248207580491,nan,5.599999985861359e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,11,3.4173423645047456,0.7659686024380011,nan,0.0012166999999863037
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,11,3.4173423645047456,0.7659686024380011,nan,0.0011405999998714833
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,11,3.4173423645047456,0.7659686024380011,nan,0.0009582000000136759
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,11,6.885411981978272,0.8278455524506478,nan,0.0007815999999820633
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,11,13.56699911427727,0.7205295637217932,nan,0.0006625000000894943
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,11,nan,0.7659686024380011,nan,0.07556829899999684
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,12,3.763802064432042,0.7631248207580491,nan,8.989999992081721e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,12,3.4173423645047456,0.7659686024380011,nan,0.0011739999999917927
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,12,3.4173423645047456,0.7659686024380011,nan,0.0011915000000044529
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,12,3.4173423645047456,0.7659686024380011,nan,0.0020435000001270964
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,12,6.885411981978272,0.8278455524506478,nan,0.0011377999999240274
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,12,13.56699911427727,0.7205295637217932,nan,0.0006694999999581341
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,12,nan,0.7659686024380011,nan,0.07523859899993113
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,13,3.763802064432042,0.7631248207580491,nan,7.230000005620241e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,13,3.4173423645047456,0.7659686024380011,nan,0.0013438000000860484
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,13,3.4173423645047456,0.7659686024380011,nan,0.0010313000000223838
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,13,3.4173423645047456,0.7659686024380011,nan,0.000925199999983306
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,13,6.885411981978272,0.8278455524506478,nan,0.0007419000000936649
